,hhld_id,drvr_cnt,veh_cnt,min_age,hoh_age,max_age,avg_age,min_mon_lic,hoh_mon_lic,max_mon_lic,avg_mon_lic,cnt_yth,cnt_female,cnt_male,cnt_married,cnt_single,hoh_married,cnt_auto,cnt_mtrcyc,avg_majr_viol,cnt_majr_viol,cnt_minr_viol,avg_minr_viol,cnt_lic_susp,curnt_insurer,time_w_carr,inforce_ind,prior_bi,fire_ind,homeowner_ind,veh_lien_cnt,veh_lease_cnt,veh_own_cnt,monthly_pay_ind,veh_w_coll_cnt,veh_w_comp_cnt,veh_w_ers_cnt,curnt_bi_low,curnt_bi_upp,credit_score,zipcode,premium,loss_amount,loss_ratio,fault_claims,not_at_fault_claims,future_clm_ind
18,19,2,2,55.998,57.143,57.143,56.57,479.972,493.719,493.719,486.846,0,1,1,0,2,False,2,0,0.0,0,0,0.0,0,MISSING,,0,,0,1,,0,0,0,2,2,2,25,25,668.837,91928,314.0,0.0,0.0,0.0,0.0,0
19,20,2,1,37.267,53.523,53.523,45.395,255.199,450.276,450.276,352.737,0,2,0,2,0,True,1,0,0.0,0,0,0.0,0,OTHER,5.0,1,250000.0,0,1,,0,1,0,1,1,1,50,50,529.748,52495,167.0,0.0,0.0,0.0,0.0,0
20,21,3,1,25.93,62.4,66.175,51.502,119.165,556.8,602.097,426.021,0,1,2,2,1,True,1,0,0.0,0,1,0.333,0,NATIONWIDE,0.5,1,25000.0,0,1,,0,0,1,0,0,1,25,25,583.056,59814,105.0,0.0,0.0,0.0,0.0,0
21,22,1,1,47.672,47.672,47.672,47.672,380.062,380.062,380.062,380.062,0,0,1,0,1,False,1,0,0.0,0,0,0.0,0,ALLSTATE,5.0,1,100000.0,1,0,,0,1,0,1,1,1,100,100,600.528,38537,150.3,0.0,0.0,0.0,0.0,0
22,23,1,1,46.557,46.557,46.557,46.557,366.68,366.68,366.68,366.68,0,1,0,0,1,False,1,0,0.0,0,1,1.0,0,OTHER,3.5,1,100000.0,0,0,,0,0,0,1,1,1,100,100,708.903,35741,133.6,0.0,0.0,0.0,0.0,0
23,24,2,1,45.595,60.823,60.823,53.209,355.145,537.874,537.874,446.509,0,0,2,1,1,True,1,0,0.0,0,0,0.0,0,FARMERS,1.0,1,250000.0,1,1,,0,0,0,1,1,1,100,100,702.859,57609,120.24,0.0,0.0,0.0,0.0,0
24,25,3,2,16.0,47.193,65.107,42.766,0.0,374.311,589.282,321.198,1,1,2,2,1,True,2,0,0.0,0,0,0.0,0,AMERICAN FAMILY,3.0,1,250000.0,0,0,,0,2,0,1,1,1,25,25,538.825,32997,247.0,0.0,0.0,0.0,0.0,0
25,26,1,1,39.198,39.198,39.198,39.198,278.381,278.381,278.381,278.381,0,1,0,0,1,False,1,0,0.0,0,1,1.0,0,FARMERS,5.0,1,25000.0,1,0,,0,0,1,1,1,1,50,50,495.752,69015,150.3,1080.947,7.192,0.0,0.0,1
26,27,2,2,20.489,59.969,59.969,40.229,53.87,527.623,527.623,290.747,0,1,1,2,0,True,2,0,0.0,0,0,0.0,0,OTHER,1.5,1,50000.0,1,1,,0,0,1,1,1,1,50,50,711.489,36529,177.84,0.0,0.0,0.0,1.0,0
27,28,2,2,44.939,56.425,56.425,50.682,347.267,485.098,485.098,416.182,0,2,0,2,0,True,2,0,0.0,0,0,0.0,0,GEICO,2.0,1,100000.0,0,1,,0,1,0,1,1,1,100,100,690.294,52611,247.0,0.0,0.0,0.0,0.0,0
28,29,2,1,41.718,45.135,45.135,43.426,308.617,349.619,349.619,329.118,0,1,1,1,1,True,1,0,0.0,0,0,0.0,0,AMERICAN FAMILY,0.5,1,100000.0,0,0,,0,0,0,1,1,1,25,25,661.36,40320,167.0,0.0,0.0,0.0,0.0,0
29,30,1,1,50.518,50.518,50.518,50.518,414.211,414.211,414.211,414.211,0,0,1,0,1,False,1,0,0.0,0,0,0.0,0,OTHER,3.5,1,100000.0,0,0,,0,0,0,1,1,1,50,50,669.664,77542,167.0,0.0,0.0,0.0,0.0,0
30,31,2,1,40.582,59.398,59.398,49.99,294.986,520.776,520.776,407.881,0,2,0,2,0,True,1,0,0.0,0,0,0.0,0,OTHER,0.0,1,100000.0,0,1,,0,0,0,1,1,1,50,50,850.0,46350,133.6,0.0,0.0,0.0,0.0,0
31,32,1,1,36.495,36.495,36.495,36.495,245.943,245.943,245.943,245.943,0,0,1,1,0,True,1,0,0.0,0,0,0.0,0,MISSING,,0,,1,1,,0,0,1,1,1,1,25,25,833.424,25433,120.24,0.0,0.0,0.0,0.0,0
32,33,1,1,32.807,32.807,32.807,32.807,201.689,201.689,201.689,201.689,0,1,0,0,1,False,1,0,0.0,0,0,0.0,0,MISSING,,0,,0,0,,0,0,0,0,1,1,25,25,574.812,21894,117.0,0.0,0.0,0.0,0.0,0
33,34,2,2,31.222,67.699,67.699,49.461,182.661,620.394,620.394,401.527,0,1,1,1,1,True,2,0,0.0,0,4,2.0,0,MISSING,,0,,0,1,,0,0,0,1,1,1,50,50,,10012,247.0,0.0,0.0,0.0,0.0,0
34,35,1,1,67.789,67.789,67.789,67.789,621.472,621.472,621.472,621.472,0,0,1,0,1,False,1,0,0.0,0,0,0.0,0,MISSING,,0,,0,1,,0,0,0,1,1,1,25,25,602.041,69015,167.0,0.0,0.0,0.0,0.0,0
35,36,1,1,36.595,36.595,36.595,36.595,247.146,247.146,247.146,247.146,0,0,1,0,1,False,1,0,0.0,0,0,0.0,0,MISSING,,0,,1,0,,0,0,0,1,1,1,50,50,730.101,14052,120.24,0.0,0.0,0.0,1.0,0
36,37,2,1,35.433,50.551,50.551,42.992,233.197,414.612,414.612,323.904,0,2,0,1,1,True,1,0,0.0,0,0,0.0,0,PROGRESSIVE,5.0,1,25000.0,0,0,,0,0,0,1,1,1,50,50,564.194,44475,167.0,1622.893,9.718,0.0,0.0,1
37,38,2,1,53.96,59.654,59.654,56.807,455.516,523.852,523.852,489.684,0,1,1,0,2,False,1,0,0.0,0,0,0.0,0,PROGRESSIVE,2.0,1,25000.0,1,0,,0,0,0,1,1,1,25,25,716.925,65163,120.24,0.0,0.0,0.0,0.0,0
38,39,4,1,37.774,37.774,42.256,40.015,261.291,261.291,315.076,288.183,0,2,2,2,2,True,1,0,0.0,0,0,0.0,0,OTHER,5.0,1,25000.0,0,0,,0,0,0,1,1,1,50,50,659.251,13765,167.0,0.0,0.0,0.0,0.0,0
39,40,1,1,21.694,21.694,21.694,21.694,68.329,68.329,68.329,68.329,0,0,1,0,1,False,1,0,0.0,0,0,0.0,0,MISSING,,0,,1,0,,0,0,0,0,0,1,25,25,641.237,38537,94.5,0.0,0.0,0.0,0.0,0
40,41,1,1,48.07,48.07,48.07,48.07,384.84,384.84,384.84,384.84,0,1,0,1,0,True,1,0,0.0,0,0,0.0,0,OTHER,4.0,1,25000.0,1,0,,0,0,0,1,1,1,25,25,559.471,78124,150.3,1153.982,7.678,0.0,0.0,1
41,42,1,1,36.874,36.874,36.874,36.874,250.491,250.491,250.491,250.491,0,1,0,0,1,False,1,0,0.0,0,0,0.0,0,OTHER,1.5,1,25000.0,1,1,,0,1,1,1,1,1,25,25,587.726,52611,150.3,2214.556,14.734,0.0,0.0,1
42,43,2,1,20.635,45.271,45.271,32.953,55.623,300.342,300.342,177.983,0,1,1,2,0,True,1,0,0.0,0,0,0.0,0,MISSING,,0,,1,1,,0,1,0,1,1,1,25,25,792.601,83569,120.24,0.0,0.0,0.0,0.0,0
43,44,1,1,47.015,47.015,47.015,47.015,314.597,257.018,257.018,257.018,0,0,1,0,1,False,1,0,0.0,0,2,2.0,0,ALLSTATE,4.0,1,25000.0,1,0,,0,1,0,1,1,1,25,25,652.712,91928,150.3,0.0,0.0,0.0,0.0,0
44,45,1,1,54.377,54.377,54.377,54.377,460.522,460.522,460.522,460.522,0,1,0,0,1,False,0,1,0.0,0,1,1.0,0,PROGRESSIVE,5.0,1,100000.0,0,1,,0,0,0,1,1,1,50,50,560.316,77542,167.0,0.0,0.0,0.0,0.0,0
45,46,1,1,27.543,27.543,27.543,27.543,138.517,138.517,138.517,138.517,0,0,1,0,1,False,1,0,0.0,0,1,1.0,0,FARMERS,5.0,1,100000.0,0,1,,0,0,0,1,1,0,25,25,744.603,66869,129.6,0.0,0.0,0.0,0.0,0
46,47,2,2,18.418,66.492,66.492,42.455,29.021,605.907,605.907,317.464,0,0,2,0,2,False,2,0,0.0,0,0,0.0,0,MISSING,,0,,1,1,,0,1,1,1,1,1,50,50,626.862,78567,222.3,0.0,0.0,0.0,0.0,0
47,48,2,2,28.184,62.702,62.702,45.443,146.205,531.935,531.935,339.07,0,1,1,2,0,True,2,0,0.0,0,0,0.0,0,LIBERTY MUTUAL,4.0,1,100000.0,0,1,,0,0,0,1,1,0,100,100,705.243,74670,193.6,0.0,0.0,0.0,1.0,0
48,49,2,1,29.615,49.756,49.756,39.685,163.376,405.073,405.073,284.224,0,0,2,2,0,True,1,0,0.0,0,3,1.5,0,ALLSTATE,1.0,1,100000.0,1,0,,0,0,1,1,0,0,25,25,710.421,65789,108.0,0.0,0.0,0.0,1.0,0
49,50,2,3,29.852,59.45,59.45,44.651,166.225,521.396,521.396,343.81,0,0,2,2,0,True,3,0,0.0,0,0,0.0,0,OTHER,0.5,1,25000.0,0,0,,0,3,0,2,2,0,50,50,797.963,78124,307.2,0.0,0.0,0.0,0.0,0
50,51,1,2,38.578,38.578,38.578,38.578,270.939,270.939,270.939,270.939,0,1,0,0,1,False,2,0,0.0,0,0,0.0,0,OTHER,5.0,1,250000.0,0,0,,0,1,0,2,2,2,25,25,324.096,83569,376.8,0.0,0.0,0.0,0.0,0
51,52,1,1,46.411,46.411,46.411,46.411,364.927,364.927,364.927,364.927,0,0,1,0,1,False,1,0,0.0,0,0,0.0,0,OTHER,0.5,1,100000.0,0,0,,0,0,1,1,1,1,50,50,564.071,87035,167.0,0.0,0.0,0.0,0.0,0
52,53,2,1,51.635,60.813,60.813,56.224,427.621,537.754,537.754,482.687,0,0,2,2,0,True,1,0,0.0,0,0,0.0,0,OTHER,5.0,1,250000.0,0,1,,0,0,0,1,1,1,25,25,740.47,58574,133.6,0.0,0.0,0.0,1.0,0
53,54,1,1,68.641,68.641,68.641,68.641,631.69,631.69,631.69,631.69,0,0,1,0,1,False,1,0,0.0,0,0,0.0,0,MISSING,,0,,1,0,,0,1,0,0,0,1,250,250,603.638,69015,94.5,0.0,0.0,0.0,1.0,0
54,55,1,1,72.039,72.039,72.039,72.039,672.463,672.463,672.463,672.463,0,0,1,0,1,False,1,0,0.0,0,0,0.0,0,GEICO,0.0,1,100000.0,0,0,,0,1,0,0,0,0,25,25,,58368,100.0,0.0,0.0,0.0,0.0,0
55,56,1,1,47.157,47.157,47.157,47.157,373.883,373.883,373.883,373.883,0,0,1,0,1,False,1,0,0.0,0,0,0.0,0,GEICO,1.5,1,50000.0,0,1,,0,0,0,1,1,1,50,50,573.81,83569,167.0,0.0,0.0,0.0,1.0,0
56,57,2,1,57.577,59.396,59.396,58.486,498.924,520.746,520.746,509.835,0,2,0,1,1,True,1,0,0.0,0,0,0.0,0,FARMERS,5.0,1,100000.0,1,0,,0,1,1,1,1,1,25,25,688.991,16107,150.3,0.0,0.0,0.0,0.0,0
57,58,1,1,28.518,28.518,28.518,28.518,150.22,150.22,150.22,150.22,0,0,1,1,0,True,1,0,0.0,0,0,0.0,0,MISSING,,0,,0,0,,0,0,0,1,1,1,100,100,608.791,52666,167.0,0.0,0.0,0.0,1.0,0
58,59,1,1,66.47,66.47,66.47,66.47,605.636,605.636,605.636,605.636,0,0,1,0,1,False,1,0,0.0,0,0,0.0,0,PROGRESSIVE,1.0,1,100000.0,0,1,,0,0,1,0,0,0,50,50,718.09,31675,80.0,0.0,0.0,0.0,0.0,0
59,60,1,1,27.756,27.756,27.756,27.756,141.07,141.07,141.07,141.07,0,0,1,0,1,False,1,0,0.0,0,0,0.0,0,MISSING,,0,,0,1,,0,0,0,1,1,1,50,50,493.443,30461,167.0,0.0,0.0,0.0,0.0,0
60,61,1,1,57.022,57.022,57.022,57.022,492.265,492.265,492.265,492.265,0,1,0,0,1,False,1,0,0.0,0,0,0.0,0,ALLSTATE,2.5,1,100000.0,0,0,,0,1,0,1,1,1,25,25,563.244,64123,167.0,0.0,0.0,0.0,0.0,0
61,62,3,2,31.905,43.492,43.492,59.445,190.86,329.907,329.907,521.336,0,2,1,2,1,True,2,0,0.0,0,2,0.667,0,PROGRESSIVE,1.0,1,100000.0,0,1,,0,2,1,1,2,1,25,25,573.825,91928,259.0,0.0,0.0,0.0,0.0,0
62,63,1,1,43.45,43.45,43.45,43.45,329.399,329.399,329.399,329.399,0,1,0,0,1,False,1,0,0.0,0,0,0.0,0,MISSING,,0,,0,1,,0,1,0,0,0,0,25,25,601.266,15906,100.0,0.0,0.0,0.0,1.0,0
63,64,4,4,16.0,43.602,46.24,38.02,0.0,331.222,362.88,264.246,2,4,0,2,2,True,4,0,0.0,0,0,0.0,0,GEICO,5.0,1,25000.0,0,1,,0,1,1,1,1,1,100,100,566.388,80696,407.0,1768.881,4.346,1.0,0.0,1
64,65,2,1,16.0,47.438,47.438,31.719,0.0,377.253,377.253,188.626,1,0,2,2,0,True,1,0,0.0,0,1,0.5,0,OTHER,1.5,1,100000.0,0,1,,0,0,1,0,0,1,25,25,850.0,97231,84.0,0.0,0.0,0.0,0.0,0
65,66,1,1,77.542,77.542,77.542,77.542,738.5,738.5,738.5,738.5,0,0,1,0,1,False,1,0,0.0,0,0,0.0,0,MISSING,,0,,1,1,,0,0,0,0,0,0,50,50,813.239,43446,72.0,0.0,0.0,0.0,0.0,0
66,67,1,1,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,1,1,0,0,1,False,1,0,0.0,0,0,0.0,0,MISSING,,0,,0,0,,0,0,0,0,0,0,100,100,551.229,80672,100.0,0.0,0.0,0.0,0.0,0
67,68,1,1,70.797,70.797,70.797,70.797,657.562,657.562,657.562,657.562,0,1,0,0,1,False,1,0,0.0,0,0,0.0,0,MISSING,,0,,1,0,,0,0,0,0,0,1,25,25,682.375,98094,94.5,0.0,0.0,0.0,0.0,0
68,69,2,2,42.35,61.876,61.876,52.113,316.198,550.511,550.511,433.354,0,1,1,1,1,True,2,0,0.0,0,1,0.5,0,LIBERTY MUTUAL,5.0,1,25000.0,0,1,,0,0,0,1,1,1,25,25,822.481,54018,197.6,0.0,0.0,0.0,0.0,0
69,70,2,2,34.291,62.002,62.002,48.147,219.497,552.024,552.024,385.761,0,1,1,1,1,True,2,0,0.0,0,0,0.0,0,NATIONWIDE,5.0,1,100000.0,1,0,,0,0,0,1,1,0,25,25,646.303,39663,217.8,0.0,0.0,1.0,1.0,0
70,71,1,1,62.626,62.626,62.626,62.626,559.509,559.509,559.509,559.509,0,0,1,0,1,False,1,0,0.0,0,0,0.0,0,GEICO,0.5,1,250000.0,1,0,,0,0,1,0,0,0,100,100,664.442,90600,90.0,0.0,0.0,0.0,0.0,0
71,72,2,1,32.467,52.628,52.628,42.548,197.603,439.541,439.541,318.572,0,1,1,2,0,True,1,0,0.0,0,1,0.5,0,OTHER,0.5,1,100000.0,0,0,,0,0,1,1,1,1,25,25,589.603,87108,167.0,0.0,0.0,0.0,0.0,0
72,73,3,3,16.0,66.908,66.908,49.454,0.0,610.894,610.894,401.447,1,2,1,0,3,False,3,0,0.0,0,1,0.333,0,FARMERS,5.0,1,50000.0,1,1,,0,0,0,3,3,0,50,50,647.882,68294,401.4,0.0,0.0,0.0,0.0,0
73,74,4,1,34.272,38.171,74.597,45.328,219.263,266.054,703.163,351.936,0,2,2,4,0,True,1,0,0.0,0,0,0.0,0,AMERICAN FAMILY,3.0,1,100000.0,0,1,,0,0,1,1,1,1,25,25,565.174,52666,167.0,0.0,0.0,0.0,1.0,0
74,75,1,1,38.903,38.903,38.903,38.903,228.646,182.455,182.455,182.455,0,1,0,0,1,False,1,0,0.0,0,0,0.0,0,MISSING,,0,,0,1,,0,0,1,1,1,1,25,25,681.782,59814,167.0,0.0,0.0,0.0,0.0,0
75,76,2,2,18.403,44.598,44.598,31.5,28.832,343.173,343.173,186.003,0,1,1,0,2,False,2,0,0.0,0,1,0.5,0,MISSING,,0,,1,0,,0,1,0,2,2,2,25,25,782.733,14052,226.08,0.0,0.0,0.0,0.0,0
76,77,1,1,56.159,56.159,56.159,56.159,481.912,481.912,481.912,481.912,0,1,0,0,1,False,1,0,0.0,0,0,0.0,0,GEICO,0.0,1,100000.0,0,0,,0,1,0,1,1,1,25,25,,69015,167.0,0.0,0.0,0.0,0.0,0
77,78,2,2,38.582,61.695,61.695,50.138,270.978,548.337,548.337,409.658,0,2,0,2,0,True,2,0,0.0,0,0,0.0,0,OTHER,0.5,1,25000.0,1,1,,0,1,1,1,1,1,25,25,726.315,70927,177.84,0.0,0.0,0.0,0.0,0
78,79,1,1,39.33,39.33,39.33,39.33,279.957,279.957,279.957,279.957,0,1,0,0,1,False,1,0,0.0,0,0,0.0,0,MISSING,,0,,0,1,,0,0,0,1,1,1,100,100,717.961,19087,133.6,0.0,0.0,0.0,0.0,0
79,80,1,2,43.793,43.793,43.793,43.793,333.514,333.514,333.514,333.514,0,1,0,0,1,False,2,0,0.0,0,2,2.0,0,MISSING,,0,,1,0,,0,0,0,0,0,1,50,50,762.761,73857,133.2,0.0,0.0,0.0,0.0,0
80,81,1,1,18.971,18.971,18.971,18.971,35.653,35.653,35.653,35.653,0,1,0,0,1,False,1,0,0.0,0,0,0.0,0,MISSING,,0,,0,1,,0,0,1,1,1,1,25,25,581.036,24811,167.0,0.0,0.0,0.0,0.0,0
81,82,1,1,44.687,44.687,44.687,44.687,344.248,344.248,344.248,344.248,0,1,0,0,1,False,1,0,0.0,0,0,0.0,0,MISSING,,0,,0,0,,0,0,1,1,1,1,25,25,630.569,91804,167.0,0.0,0.0,0.0,0.0,0
82,83,1,1,45.882,45.882,45.882,45.882,358.584,358.584,358.584,358.584,0,1,0,0,1,False,1,0,0.0,0,0,0.0,0,GEICO,1.0,1,25000.0,1,0,,0,1,1,0,0,0,25,25,535.875,36517,90.0,768.175,8.535,0.0,0.0,1
83,84,1,1,34.579,34.579,34.579,34.579,222.95,222.95,222.95,222.95,0,1,0,0,1,False,1,0,0.0,0,0,0.0,0,OTHER,2.5,1,25000.0,0,1,,0,0,0,0,0,1,100,100,850.0,78124,84.0,0.0,0.0,0.0,0.0,0
84,85,2,1,33.26,62.233,62.233,47.746,207.121,554.793,554.793,380.957,0,2,0,1,1,True,1,0,0.0,0,0,0.0,0,OTHER,5.0,1,50000.0,1,0,,0,0,0,1,1,1,50,50,593.858,98013,150.3,0.0,0.0,0.0,0.0,0
85,86,1,1,34.15,34.15,34.15,34.15,217.795,217.795,217.795,217.795,0,0,1,0,1,False,1,0,0.0,0,0,0.0,1,MISSING,,0,,0,0,,0,0,0,1,1,1,25,25,651.46,22476,167.0,0.0,0.0,0.0,0.0,0
86,87,3,2,27.574,51.239,55.069,44.627,138.887,422.866,468.825,343.526,0,2,1,2,1,True,2,0,0.0,0,1,0.333,0,OTHER,2.0,1,100000.0,0,1,,0,1,1,2,2,2,25,25,634.815,98094,314.0,0.0,0.0,0.0,0.0,0
87,88,2,1,40.23,64.219,64.219,52.225,290.764,578.632,578.632,434.698,0,1,1,2,0,True,1,0,0.0,0,0,0.0,0,FARMERS,1.0,1,50000.0,0,1,,0,0,1,0,0,0,25,25,688.467,74203,100.0,0.0,0.0,1.0,0.0,0
88,89,1,1,32.676,32.676,32.676,32.676,200.112,200.112,200.112,200.112,0,0,1,0,1,False,1,0,0.0,0,0,0.0,0,MISSING,,0,,0,1,,1,0,1,1,1,1,100,100,633.558,58368,167.0,0.0,0.0,0.0,0.0,0
89,90,2,2,37.437,44.186,44.186,40.811,257.245,338.227,338.227,297.736,0,0,2,2,0,True,2,0,0.0,0,0,0.0,0,OTHER,3.5,1,250000.0,0,1,,0,0,1,1,1,1,250,250,663.565,68294,247.0,0.0,0.0,0.0,0.0,0
90,91,1,1,21.676,21.676,21.676,21.676,68.113,68.113,68.113,68.113,0,1,0,0,1,False,1,0,0.0,0,0,0.0,0,MISSING,,0,,0,1,,0,0,0,0,0,0,250,250,725.284,46350,80.0,0.0,0.0,0.0,0.0,0
91,92,1,1,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,1,0,1,0,1,False,1,0,0.0,0,0,0.0,0,MISSING,,0,,1,1,,0,0,0,1,1,1,50,50,699.44,69073,150.3,0.0,0.0,0.0,0.0,0
92,93,1,1,53.821,53.821,53.821,53.821,453.846,453.846,453.846,453.846,0,0,1,0,1,False,1,0,0.0,0,1,1.0,0,MISSING,,0,,0,1,,0,0,1,1,1,1,25,25,619.015,30461,167.0,0.0,0.0,1.0,0.0,0
93,94,1,1,28.604,28.604,28.604,28.604,151.248,151.248,151.248,151.248,0,1,0,0,1,False,1,0,0.0,0,0,0.0,0,MISSING,,0,,0,0,,0,1,1,0,0,1,25,25,422.752,80696,105.0,0.0,0.0,0.0,0.0,0
94,95,2,1,43.836,46.807,46.807,45.322,334.036,369.688,369.688,351.862,0,2,0,2,0,True,1,0,0.0,0,0,0.0,0,MISSING,,0,,1,0,,0,0,1,1,1,1,50,50,507.407,52074,150.3,0.0,0.0,0.0,0.0,0
95,96,1,1,64.21,64.21,64.21,64.21,578.518,578.518,578.518,578.518,0,1,0,1,0,True,1,0,0.0,0,0,0.0,0,ALLSTATE,4.5,1,100000.0,0,0,,0,1,0,1,1,1,50,50,473.022,80696,167.0,0.0,0.0,0.0,0.0,0
96,97,1,1,36.029,36.029,36.029,36.029,240.351,240.351,240.351,240.351,0,1,0,1,0,True,1,0,0.0,0,0,0.0,0,ALLSTATE,5.0,1,100000.0,1,0,,0,0,0,1,1,1,25,25,597.706,23332,150.3,0.0,0.0,0.0,1.0,0
97,98,2,1,33.174,55.166,55.166,44.17,206.09,469.995,469.995,338.043,0,1,1,2,0,True,1,0,0.0,0,0,0.0,0,OTHER,5.0,1,25000.0,1,1,,0,0,0,0,0,0,25,25,721.798,64123,72.0,0.0,0.0,0.0,0.0,0
